Position,Probability
-20.0,1.0
-19.919839679358716,0.999365945153335
-19.839679358717436,0.9974653887155349
-19.759519038076153,0.994303150914682
-19.67935871743487,0.9898872518795933
-19.599198396793586,0.9842288912990094
-19.519038076152306,0.977342420016733
-19.438877755511022,0.9692453036347348
-19.35871743486974,0.9599580782165591
-19.278557114228455,0.9495042982033605
-19.198396793587175,0.9379104766746724
-19.118236472945892,0.9252060181054198
-19.03807615230461,0.9114231437897243
-18.95791583166333,0.8965968101206291
-18.877755511022045,0.8807646199330184
-18.79759519038076,0.8639667271345794
-18.717434869739478,0.846245734866683
-18.637274549098198,0.8276465874534699
-18.557114228456914,0.8082164564131836
-18.47695390781563,0.7880046208208559
-18.39679358717435,0.7670623423257549
-18.316633266533067,0.7454427351406008
-18.236472945891784,0.723200631332267
-18.1563126252505,0.7003924417556345
-18.07615230460922,0.6770760129832815
-17.995991983967937,0.6533104805938882
-17.915831663326653,0.6291561191914333
-17.83567134268537,0.6046741895355797
-17.75551102204409,0.5799267831709447
-17.675350701402806,0.5549766649493166
-17.595190380761522,0.5298871138442302
-17.51503006012024,0.5047217624616006
-17.43486973947896,0.47954443565347854
-17.354709418837675,0.4544189886442155
-17.274549098196392,0.42940914507961625
-17.194388777555112,0.404578335409789
-17.11422845691383,0.37998953601560076
-17.034068136272545,0.3557051094867728
-16.95390781563126,0.3317866464566595
-16.87374749498998,0.30829480939489945
-16.793587174348698,0.2852891787540745
-16.713426853707414,0.26282810186061895
-16.633266533066134,0.24096854493319456
-16.55310621242485,0.2197659486038659
-16.472945891783567,0.19927408730849022
-16.392785571142284,0.17954493290295293
-16.312625250501004,0.16062852285114101
-16.23246492985972,0.14257283331895323
-16.152304609218437,0.12542365749622014
-16.072144288577153,0.10922448945512912
-15.991983967935873,0.09401641383971529
-15.91182364729459,0.07983800166618503
-15.831663326653306,0.06672521249836662
-15.751503006012024,0.054711303246361045
-15.671342685370742,0.0438267438197223
-15.591182364729459,0.03409913984908316
-15.511022044088175,0.025553162672220384
-15.430861723446894,0.018210486762127536
-15.350701402805612,0.012089734755797528
-15.270541082164328,0.007206430223130201
-15.190380761523047,0.003572958295752022
-15.110220440881765,0.0011985342556060298
-15.030060120240481,8.918016297516017e-05
-14.949899799599198,0.0002477095832157071
-14.869739478957916,0.0016737204509387003
-14.789579158316634,0.004363596089735954
-14.70941883767535,0.00831051438486445
-14.629258517034067,0.01350446508562681
-14.549098196392785,0.01993227519356204
-14.468937875751504,0.02757764237206049
-14.38877755511022,0.036421176292666814
-14.308617234468938,0.04644044781320448
-14.228456913827657,0.05761004586300204
-14.148296593186373,0.06990164189094605
-14.06813627254509,0.08328406171289664
-13.987975951903808,0.09772336457625992
-13.907815631262526,0.11318292924118603
-13.827655310621243,0.12962354686006156
-13.747494989979959,0.14700352041975204
-13.667334669338677,0.16527877049437648
-13.587174348697395,0.18440294704039886
-13.507014028056112,0.2043275469505113
-13.42685370741483,0.22500203706814825
-13.346693386773548,0.24637398235066485
-13.266533066132265,0.2683891788561048
-13.186372745490981,0.2909917912162908
-13.1062124248497,0.31412449424756506
-13.026052104208418,0.33772861834003204
-12.945891783567134,0.3617442982565669
-12.86573146292585,0.3861106249641795
-12.785571142284569,0.41076580011269165
-12.705410821643287,0.4356472927689114
-12.625250501002004,0.4606919980087943
-12.545090180360722,0.4858363969653775
-12.46492985971944,0.5110167179265632
-12.384769539078157,0.536169098074166
-12.304609218436873,0.5612297454540357
-12.224448897795591,0.5861351007664436
-12.14428857715431,0.6108219985664156
-12.064128256513026,0.635227827465156
-11.983967935871744,0.6592906889262632
-11.90380761523046,0.6829495542540011
-11.823647294589179,0.7061444193754595
-11.743486973947896,0.7288164570240463
-11.663326653306614,0.7509081659383415
-11.58316633266533,0.7723635166979137
-11.503006012024048,0.7931280938262167
-11.422845691382767,0.8131492338001837
-11.342685370741483,0.8323761586164695
-11.262525050100201,0.8507601045756085
-11.182364729458918,0.8682544459574562
-11.102204408817636,0.8848148132742432
-11.022044088176353,0.9003992058013301
-10.94188376753507,0.9149680981002603
-10.861723446893787,0.9284845402639449
-10.781563126252506,0.9409142516297269
-10.701402805611222,0.9522257077226715
-10.62124248496994,0.9623902202085444
-10.541082164328659,0.971382009653722
-10.460921843687375,0.9791782709074944
-10.380761523046093,0.9857592309409245
-10.30060120240481,0.991108198995594
-10.220440881763528,0.9952116089150231
-10.140280561122244,0.9980590535514234
-10.060120240480963,0.999643311160505
-9.97995991983968,0.9999603637174066
-9.899799599198397,0.9990094071072877
-9.819639278557114,0.9967928531647373
-9.739478957915832,0.9933163235568366
-9.65931863727455,0.9885886355253759
-9.579158316633267,0.9826217795243938
-9.498997995991985,0.9754308888097581
-9.418837675350701,0.9670342010579067
-9.33867735470942,0.9574530121110989
-9.258517034068136,0.9467116219664888
-9.178356713426854,0.9348372731460024
-9.098196392785571,0.9218600816033198
-9.01803607214429,0.9078129603432181
-8.937875751503006,0.8927315359469626
-8.857715430861724,0.8766540582154858
-8.777555110220442,0.8596213031594989
-8.697394789579159,0.8416764695825834
-8.617234468937877,0.8228650695195473
-8.537074148296593,0.8032348128079205
-8.456913827655312,0.7828354860853401
-8.376753507014028,0.7617188265197147
-8.296593186372746,0.7399383905924166
-8.216432865731463,0.7175494182672935
-8.136272545090181,0.6946086928900052
-8.056112224448897,0.6711743971729964
-7.975951903807616,0.6473059656313781
-7.895791583166334,0.6230639338439549
-7.81563126252505,0.5985097849217182
-7.735470941883769,0.573705793573187
-7.655310621242485,0.548714868162086
-7.575150300601203,0.5236003911579346
